mortality_rate,region,state,pp_diabetes,births_at_home,rate_twins,rate_triplets_higherorder,unmarried_white,unmarried_black,unmarried_hispanic,low_birthwt_white,low_birthwt_black,low_birthwt_hispanic,political_affiliation,health_system_performance,
7.56,Southeast,Alabama,13.3,0.7,35.4,110.1,30.9,78.9,48,8.06,16.1,8.13,Republican,Bottom 25,
7.37,West,Alaska,13.6,2.5,30.3,83.7,20.3,37.9,32.2,5.84,11.11,9.05,Republican,Bottom 25,
5.47,Southwest,Arizona,12.6,1.4,29,72.1,29.4,63.3,56.7,7.03,13.91,7.67,Republican,Bottom 25,
8.59,Southeast,Arkansas,10.6,1.2,31.8,64.9,35.4,80.1,52.5,7.87,16.67,7.06,Republican,Bottom 25,
4.07,West,California,9,1,29.2,65.2,22.5,62.7,52.8,5.75,12.41,6.99,Democratic,Top 25,
4.99,West,Colorado,8.9,1.9,30.4,56.6,14.9,41.1,35.8,8.41,15.2,10.07,Democratic,Top 25,
4.65,Northeast,Connecticut,10.6,0.7,25.7,80.3,21.5,64.6,62.3,6.37,12.93,9.04,Democratic,Top 25,
4.77,Northeast,Delaware,9.9,1,30.9,82.7,33.2,68.8,61.9,7.1,13.66,7.5,Democratic,Bottom 25,
5.9,Southeast,Florida,9.2,1.3,30,72,34.7,67.4,50.9,7.31,14.5,7.49,Republican,Bottom 25,
6.25,Southeast,Georgia,11.3,1,33.4,93.3,27.5,70.9,52,7.63,15.64,7.97,Republican,Bottom 25,
4.67,West,Hawaii,7.7,3.3,28.4,45.6,17.2,17,47.7,5.61,10.53,8.39,Democratic,Top 25,
5.13,West,Idaho,9.6,3.6,30.1,92.4,22.5,35.4,45.7,6.33,8.89,7.29,Republican,Top 25,
5.62,Midwest,Illinois,11.1,0.9,33,83.8,25.6,78,54.4,6.81,14.9,7.71,Democratic,Top 25,
6.75,Midwest,Indiana,12.8,2,32,88.1,35.2,76.3,58,7.3,14.27,8.12,Republican,Bottom 25,
3.99,Midwest,Iowa,13.7,1.9,34.2,73.2,29.2,62.5,54.2,6.37,11.87,6.38,Republican,Top 25,
5.3,Midwest,Kansas,10.5,1.8,30.4,102.4,28.1,67.7,54.4,6.73,14.14,7.03,Split,Bottom 25,
6.15,Southeast,Kentucky,12.2,1.9,31.7,81.6,38.1,69.2,57.5,8.44,15.06,8.11,Split,Bottom 25,
7.24,Southeast,Louisiana,11.9,0.3,33,89.8,35.7,81.2,57.9,8.02,16.95,7.65,Split,Bottom 25,
5,Northeast,Maine,11,2.6,33.1,39.6,36.8,33.8,46.6,7.15,9.26,6.91,Democratic,Top 25,
5.99,Northeast,Maryland,10.5,1.3,31.6,78.3,23.1,61.1,56.3,6.71,12.79,7.58,Split,Top 25,
3.23,Northeast,Massachusetts,12.2,0.8,32.7,83.5,22.6,52.2,58.1,6.51,11.28,8.25,Split,Top 25,
6.22,Midwest,Michigan,9.9,2.1,35.9,93.1,29.8,80.2,54,7.53,15.77,8.54,Split,Top 25,
4.83,Midwest,Minnesota,12,1.6,32.4,120.2,22.1,51.2,55.5,6.2,11.1,7.83,Split,Top 25,
9.39,Southeast,Mississippi,11.2,0.6,35,84.8,33.3,81.2,56.4,8.66,17.67,6.95,Republican,Bottom 25,
5.85,Midwest,Missouri,12.3,2,33.2,79.7,31.8,76.2,52.5,7.46,16.08,8.15,Republican,Bottom 25,
4.9,West,Montana,10.2,2.8,28.6,78.5,26.6,38,45.4,7.29,,8.5,Republican,Bottom 25,
5.49,Midwest,Nebraska,12.7,0.4,34.1,168.4,24.6,66.4,55.9,6.76,15.75,7.39,Democratic,Top 25,
5.76,West,Nevada,11.3,1.9,30.4,67.4,34.4,74.2,56.6,7.58,15.96,9.03,Democratic,Bottom 25,
3.96,Northeast,New Hampshire,12,1.9,31.5,71.7,30.2,44.2,45.1,6.87,12.04,5.7,Republican,Top 25,
3.57,Northeast,New Jersey,10.3,0.6,31.2,103.7,16.2,66.2,56.7,5.93,12.69,7.74,Democratic,Top 25,
4.77,Southwest,New Mexico,22.3,1.9,25.3,51.3,31.5,58.3,58.8,8.33,13.71,9.72,Democratic,Top 25,
4.16,Northeast,New York,10.6,1.4,32.3,83.9,23.7,67.8,61.7,6.58,13.99,8.49,Democratic,Top 25,
6.72,Southeast,North Carolina,12.1,0.8,32.1,76.4,25.3,71.2,51.8,7.29,15.42,8.1,Split,Bottom 25,
2.77,Midwest,North Dakota,12.8,1.4,30.6,127.3,23.1,45,47.8,6.02,12.44,6.56,Republican,Bottom 25,
7.06,Midwest,Ohio,13.2,1.6,32.5,101.7,33.9,75,59.7,7.3,14.96,7.53,Republican,Bottom 25,
7.13,Midwest,Oklahoma,11.5,1.3,31.2,75.1,35.9,73.1,50.9,8.16,15.37,7.44,Republican,Bottom 25,
3.97,West,Oregon,10.7,2.6,32.6,77.5,31.1,50.7,52.6,6.46,11.55,7.24,Democratic,Top 25,
5.37,Northeast,Pennsylvania,10.3,2.5,31.7,79.7,29,74.7,64.8,6.82,14.61,8.67,Split,Top 25,
4.3,Northeast,Rhode Island,11.2,0.8,29.5,68.3,33.4,57.3,59.7,7,11.36,8.55,Democratic,Top 25,
7.26,Southeast,South Carolina,12.9,1.3,33.2,86.5,28.4,77.1,51.4,7.44,16.07,7.59,Republican,Bottom 25,
6.07,Midwest,South Dakota,9.2,1.3,34.6,65.1,23.2,40.3,57,6.64,10.65,5.76,Republican,Bottom 25,
6.18,Southeast,Tennessee,15.2,1.6,31.5,93,31.5,77.1,54.4,7.7,15.59,7.83,Republican,Bottom 25,
5.29,Southwest,Texas,9.4,1,29.6,81.7,24.8,63.5,50.6,6.96,14.16,8.25,Republican,Bottom 25,
4.58,West,Utah,8,3,32.6,135.7,13.2,33.8,40.7,6.98,10.27,8.29,Republican,Top 25,
5.96,Southeast,Virginia,9.7,1.3,32.7,72.6,22.7,64.2,51.4,6.62,13.67,7.61,Split,Top 25,
4.36,West,Washington,10.4,2.5,28.6,66.7,25.2,45.3,49.3,6.02,10.16,7.09,Democratic,Top 25,
6.81,Southeast,Washington D.C.,12.6,1,29.5,124,5.7,77.7,53.5,5.07,14.43,7.68,Democratic,Top 25,
6.8,Southeast,West Virginia,14,1.2,32.3,74.1,44.6,70.5,48.7,9.53,16.57,9.01,Republican,Bottom 25,
5.36,Midwest,Wisconsin,12.3,3.1,32.3,91.6,25.8,83.8,59.5,6.54,15.88,7.69,Split,Top 25,
5.45,West,Wyoming,6.3,2.3,31.7,110.9,28.5,35.4,48.5,9.49,,9.21,Republican,Bottom 25,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
